"Train Nos.","Velachery","Perungudi","Tharamani","Thiruvanmiyur","Indira Nagar","Kasturba Nagar","Kotturpuram","Greenways Road","Mandaveli","Thirumayilai","Light House","Tiruvellikeni","Chepauk","Chintadripet","Park Town","Chennai Fort","Chennai Beach"
"VLB2",6.5,6.53,6.55,6.58,6.59,7.01,7.03,7.05,7.07,7.09,7.12,7.14,7.16,7.18,7.2,7.22,7.3
"VLB4",7.05,7.08,7.1,7.13,7.14,7.16,7.18,7.2,7.22,7.24,7.27,7.29,7.31,7.33,7.35,7.37,7.45
"VLB6",7.25,7.28,7.3,7.33,7.34,7.36,7.38,7.4,7.42,7.44,7.47,7.49,7.51,7.53,7.55,7.57,8.05
"VLB8",7.45,7.48,7.5,7.53,7.54,7.56,7.58,8,8.02,8.04,8.07,8.09,8.11,8.13,8.15,8.17,8.25
"VLB10",8.05,8.08,8.1,8.13,8.14,8.16,8.18,8.2,8.22,8.24,8.27,8.29,8.31,8.33,8.35,8.37,8.45
"VLB12",8.25,8.28,8.3,8.33,8.34,8.36,8.38,8.4,8.42,8.44,8.47,8.49,8.51,8.53,8.55,8.57,9.05
"VLB14",8.45,8.48,8.5,8.53,8.54,8.56,8.58,9,9.02,9.04,9.07,9.09,9.11,9.13,9.15,9.17,9.25
"VLB16",9.05,9.08,9.1,9.13,9.14,9.16,9.18,9.2,9.22,9.24,9.27,9.29,9.31,9.33,9.35,9.37,9.45
"VLB18",9.25,9.28,9.3,9.33,9.34,9.36,9.38,9.4,9.42,9.44,9.47,9.49,9.51,9.53,9.55,9.57,10.05
"VLB20",9.45,9.48,9.5,9.53,9.54,9.56,9.58,10,10.02,10.04,10.07,10.09,10.11,10.13,10.15,10.17,10.25
"VLB22",10.05,10.08,10.1,10.13,10.14,10.16,10.18,10.2,10.22,10.24,10.27,10.29,10.31,10.33,10.35,10.37,10.45
"VLB24",10.25,10.28,10.3,10.33,10.34,10.36,10.38,10.4,10.42,10.44,10.47,10.49,10.51,10.53,10.55,10.57,11.05
"VLB26",10.45,10.48,10.5,10.53,10.54,10.56,10.58,11,11.02,11.04,11.07,11.09,11.11,11.13,11.15,11.17,11.25
"VLB28",10.55,10.58,11,11.03,11.04,11.06,11.08,11.1,11.12,11.14,11.17,11.19,11.21,11.23,11.25,11.27,11.35
"VLB30",11.05,11.08,11.1,11.13,11.14,11.16,11.18,11.2,11.22,11.24,11.27,11.29,11.31,11.33,11.35,11.37,11.45
"VLB32",11.25,11.28,11.3,11.33,11.34,11.36,11.38,11.4,11.42,11.44,11.47,11.49,11.51,11.53,11.55,11.57,12.05
"VLB34",11.45,11.48,11.5,11.53,11.54,11.56,11.58,12,12.02,12.04,12.07,12.09,12.11,12.13,12.15,12.17,12.25
"VLB36",12.05,12.08,12.1,12.13,12.14,12.16,12.18,12.2,12.22,12.24,12.27,12.29,12.31,12.33,12.35,12.37,12.45
"VLB38",12.25,12.28,12.3,12.33,12.34,12.36,12.38,12.4,12.42,12.44,12.47,12.49,12.51,12.53,12.55,12.57,13.05
"VLB40",12.45,12.48,12.5,12.53,12.54,12.56,12.58,13,13.02,13.04,13.07,13.09,13.11,13.13,13.15,13.17,13.25
"VLB42",13.05,13.08,13.1,13.13,13.14,13.16,13.18,13.2,13.22,13.24,13.27,13.29,13.31,13.33,13.35,13.37,13.45
"VLB44",13.25,13.28,13.3,13.33,13.34,13.36,13.38,13.4,13.42,13.44,13.47,13.49,13.51,13.53,13.55,13.57,14.05
"VLB46",13.45,13.48,13.5,13.53,13.54,13.56,13.58,14,14.02,14.04,14.07,14.09,14.11,14.13,14.15,14.17,14.25
"VLB48",14.05,14.08,14.1,14.13,14.14,14.16,14.18,14.2,14.22,14.24,14.27,14.29,14.31,14.33,14.35,14.37,14.45
"VLB50",14.25,14.28,14.3,14.33,14.34,14.36,14.38,14.4,14.42,14.44,14.47,14.49,14.51,14.53,14.55,14.57,15.05
"VLB52",14.45,14.48,14.5,14.53,14.54,14.56,14.58,15,15.02,15.04,15.07,15.09,15.11,15.13,15.15,15.17,15.25
"VLB54",15.05,15.08,15.1,15.13,15.14,15.16,15.18,15.2,15.22,15.24,15.27,15.29,15.31,15.33,15.35,15.37,15.45
"VLB56",15.25,15.28,15.3,15.33,15.34,15.36,15.38,15.4,15.42,15.44,15.47,15.49,15.51,15.53,15.55,15.57,16.05
"VLB58",15.45,15.48,15.5,15.53,15.54,15.56,15.58,16,16.02,16.04,16.07,16.09,16.11,16.13,16.15,16.17,16.25
"VLB60",16.05,16.08,16.1,16.13,16.14,16.16,16.18,16.2,16.22,16.24,16.27,16.29,16.31,16.33,16.35,16.37,16.45
"VLB62",16.25,16.28,16.3,16.33,16.34,16.36,16.38,16.4,16.42,16.44,16.47,16.49,16.51,16.53,16.55,16.57,17.05
"VLB64",16.45,16.48,16.5,16.53,16.54,16.56,16.58,17,17.02,17.04,17.07,17.09,17.11,17.13,17.15,17.17,17.25
"VLB66",17.05,17.08,17.1,17.13,17.14,17.16,17.18,17.2,17.22,17.24,17.27,17.29,17.31,17.33,17.35,17.37,17.45
"VLB68",17.25,17.28,17.3,17.33,17.34,17.36,17.38,17.4,17.42,17.44,17.47,17.49,17.51,17.53,17.55,17.57,18.05
"VLB70",17.45,17.48,17.5,17.53,17.54,17.56,17.58,18,18.02,18.04,18.07,18.09,18.11,18.13,18.15,18.17,18.25
"VLB72",18.05,18.08,18.1,18.13,18.14,18.16,18.18,18.2,18.22,18.24,18.27,18.29,18.31,18.33,18.35,18.37,18.45
"VLB74",18.25,18.28,18.3,18.33,18.34,18.36,18.38,18.4,18.42,18.44,18.47,18.49,18.51,18.53,18.55,18.57,19.05
"VLB76",18.45,18.48,18.5,18.53,18.54,18.56,18.58,19,19.02,19.04,19.07,19.09,19.11,19.13,19.15,19.17,19.25
"VLB78",19.05,19.08,19.1,19.13,19.14,19.16,19.18,19.2,19.22,19.24,19.27,19.29,19.31,19.33,19.35,19.37,19.45
"VLB80",19.25,19.28,19.3,19.33,19.34,19.36,19.38,19.4,19.42,19.44,19.47,19.49,19.51,19.53,19.55,19.57,20.05
"VLB82",19.45,19.48,19.5,19.53,19.54,19.56,19.58,20,20.02,20.04,20.07,20.09,20.11,20.13,20.15,20.17,20.25
"VLB84",20.05,20.08,20.1,20.13,20.14,20.16,20.18,20.2,20.22,20.24,20.27,20.29,20.31,20.33,20.35,20.37,20.45
"VLB86",20.25,20.28,20.3,20.33,20.34,20.36,20.38,20.4,20.42,20.44,20.47,20.49,20.51,20.53,20.55,20.57,21.05
"VLB88",20.45,20.48,20.5,20.53,20.54,20.56,20.58,21,21.02,21.04,21.07,21.09,21.11,21.13,21.15,21.17,21.25
"VLB90",21.15,21.18,21.2,21.23,21.24,21.26,21.28,21.3,21.32,21.34,21.37,21.39,21.41,21.43,21.45,21.47,21.55
"VLB92",21.45,21.48,21.5,21.53,21.54,21.56,21.58,22,22.02,22.04,22.07,22.09,22.11,22.13,22.15,22.17,22.25
"VLB94",22.2,22.23,22.25,22.28,22.29,22.31,22.33,22.35,22.37,22.39,22.42,22.44,22.46,22.48,22.5,22.52,23
"VLB96",23,23.03,23.05,23.08,23.09,23.11,23.13,23.15,23.17,23.19,23.22,23.24,23.26,23.28,23.3,23.32,23.4
